frame,speed_mps,dist_m
95,0.25390625000000006,0.008463541666666668
96,0.25390625000000006,0.008463541666666668
97,1.421875,0.04739583333333333
98,1.8344616741128887,0.06114872247042962
99,0.8266588583956882,0.027555295279856274
100,2.0318846664738532,0.06772948888246177
101,2.4396149678599386,0.08132049892866462
102,1.625,0.05416666666666667
103,1.6533177167913764,0.05511059055971255
104,1.3006346107285474,0.04335448702428491
105,0.47906935436224934,0.015968978478741645
106,0.6503173053642737,0.021677243512142456
107,1.5477871758098924,0.051592905860329746
108,1.0566893617457132,0.03522297872485711
109,1.0760353957243054,0.035867846524143515
110,1.8727199678876176,0.062423998929587256
111,0.6114872247042963,0.02038290749014321
112,3.453498371358609,0.1151166123786203
113,1.6376461051231428,0.05458820350410476
114,2.0937645755089687,0.06979215251696562
115,1.7183282508121267,0.05727760836040422
116,1.808268903062056,0.06027563010206853
117,0.6503173053642737,0.021677243512142456
118,0.9859935230715577,0.032866450769051925
119,1.7473473198680336,0.058244910662267786
120,2.356271888368162,0.07854239627893873
121,1.830944007071557,0.061031466902385235
122,1.3626039237889345,0.04542013079296448
123,0.4542013079296448,0.015140043597654827
124,1.8789062500000002,0.06263020833333334
125,1.862363833371869,0.06207879444572897
126,2.621512867012875,0.0873837622337625
127,3.1533479851778172,0.10511159950592724
128,2.2366820475944387,0.07455606825314795
129,0.6906996742717217,0.02302332247572406
130,0.594379292341231,0.019812643078041033
131,0.8188230525615714,0.02729410175205238
132,1.2355611389668257,0.04118537129889419
133,0.6114872247042963,0.02038290749014321
134,2.9575446425202103,0.09858482141734035
135,1.285678560275298,0.0428559520091766
136,0.6503173053642737,0.021677243512142456
137,2.0312500000000004,0.06770833333333334
138,1.0855791337641225,0.03618597112547075
139,0.9540930662684656,0.03180310220894885
140,0.5001373102474584,0.016671243674915282
141,0.05078125,0.0016927083333333334
142,0.66015625,0.022005208333333335
143,0.594379292341231,0.019812643078041033
144,0.6114872247042963,0.02038290749014321
145,0.7054756713392478,0.02351585571130826
146,0.4542013079296448,0.015140043597654827
147,0.2271006539648224,0.007570021798827414
148,1.8898540848208527,0.06299513616069509
149,0.8868564045134717,0.029561880150449055
150,0.25390625000000006,0.008463541666666668
151,0.8266588583956882,0.027555295279856274
152,0.203125,0.0067708333333333336
153,0.05078125,0.0016927083333333334
154,0.4542013079296448,0.015140043597654827
155,0.20937645755089682,0.006979215251696561
156,0.4542013079296448,0.015140043597654827
157,3.2535685974271487,0.10845228658090496
158,0.20937645755089682,0.006979215251696561
159,0.05078125,0.0016927083333333334
160,0.2271006539648224,0.007570021798827414
161,0.6423376497217022,0.021411254990723404
162,1.4541537017390047,0.048471790057966826
163,1.862363833371869,0.06207879444572897
164,1.6533177167913764,0.05511059055971255
165,0.66015625,0.022005208333333335
