frame,x,y
416,1007.0,807.0
417,1000.0,810.0
418,990.0,816.75
419,982.0,822.25
420,974.0,825.5
421,966.0,829.75
422,957.0,834.5
423,954.0,835.25
424,948.0,838.75
425,935.0,844.5
426,924.0,854.0
427,910.0,866.5
428,898.0,878.75
429,893.0,882.75
430,887.0,890.5
431,866.0,892.0
432,846.0,894.25
433,838.0,894.25
434,837.0,892.0
435,836.0,891.5
436,850.0,890.25
437,858.0,888.0
438,862.0,884.25
439,861.0,881.25
440,865.0,876.5
441,867.0,875.75
442,870.0,874.75
443,872.0,876.25
444,874.0,877.5
445,876.0,877.5
446,880.0,876.25
447,881.0,876.0
448,883.0,872.25
449,887.0,866.75
450,897.0,859.5
451,907.0,848.5
452,913.0,839.75
453,916.0,837.5
454,921.0,834.0
455,923.0,829.0
456,923.0,828.25
457,923.0,829.25
458,928.0,828.5
459,930.0,828.5
460,935.0,827.75
461,936.0,823.75
462,942.0,818.0
463,951.0,808.75
464,964.0,798.0
465,968.0,794.0
466,981.0,791.25
467,989.0,789.5
468,995.0,787.25
469,1001.0,784.5
470,1012.0,783.0
471,1015.0,782.25
472,1020.0,781.25
473,1024.0,780.0
474,1022.0,777.25
475,1006.0,775.75
476,990.0,775.75
477,985.0,776.0
478,983.0,774.25
479,982.0,772.5
480,982.0,769.25
481,983.0,767.25
482,983.0,764.25
483,984.0,762.75
484,986.0,759.0
485,987.0,754.25
486,990.0,752.0
487,990.0,750.25
488,990.0,749.0
489,990.0,749.25
490,991.0,748.0
491,992.0,749.75
492,996.0,751.75
493,999.0,752.5
494,1003.0,752.5
495,1004.0,752.75
496,1006.0,752.75
497,1007.0,752.75
498,1012.0,752.75
499,1018.0,751.25
500,1023.0,751.75
501,1024.0,752.0
502,1025.0,751.25
503,1021.0,750.75
504,1014.0,749.5
505,1009.0,749.0
506,1009.0,755.5
507,1010.0,758.75
508,1014.0,762.75
509,1017.0,770.5
510,1017.0,775.5
511,1003.0,779.5
512,1002.0,781.5
513,1002.0,783.25
514,998.0,782.25
515,997.0,779.25
516,1002.0,777.0
517,1006.0,774.0
518,1006.0,772.5
519,1006.0,771.5
520,1008.0,769.75
521,1015.0,771.25
522,1024.0,770.75
523,1031.0,770.5
524,1041.0,768.0
525,1045.0,767.5
526,1058.0,766.75
527,1073.0,763.75
528,1088.0,761.75
529,1101.0,756.25
530,1109.0,754.0
531,1112.0,753.25
532,1117.0,756.5
533,1120.0,761.75
534,1125.0,767.75
535,1125.0,773.75
536,1126.0,778.0
537,1126.0,779.25
538,1125.0,778.75
539,1126.0,779.25
540,1131.0,777.75
541,1135.0,775.5
542,1136.0,773.75
543,1136.0,773.25
544,1132.0,775.0
545,1128.0,777.75
546,1125.0,783.0
547,1123.0,787.5
548,1116.0,793.25
549,1114.0,795.25
550,1106.0,799.75
551,1099.0,801.5
552,1093.0,801.75
553,1090.0,802.0
554,1091.0,797.5
555,1092.0,796.0
556,1083.0,792.5
557,1065.0,789.25
558,1049.0,785.5
559,1036.0,781.5
560,1030.0,777.0
561,1028.0,776.0
562,1024.0,776.5
563,1011.0,775.75
564,991.0,776.5
565,980.0,778.0
566,969.0,776.75
567,966.0,776.5
568,961.0,776.5
569,950.0,777.5
570,942.0,779.25
571,936.0,779.5
572,934.0,778.25
573,934.0,777.0
574,931.0,776.5
575,931.0,775.5
576,930.0,773.0
577,929.0,771.5
578,928.0,770.25
579,928.0,769.5
580,929.0,769.25
581,932.0,769.25
582,935.0,769.5
583,937.0,768.5
584,935.0,769.5
585,935.0,769.25
586,947.0,770.0
587,948.0,769.5
588,950.0,770.0
589,961.0,768.5
590,972.0,767.25
591,976.0,766.25
592,976.0,768.5
593,976.0,773.75
594,976.0,776.75
595,975.0,782.75
596,975.0,786.25
597,975.0,787.5
598,973.0,786.0
599,971.0,784.25
600,967.0,782.0
601,969.0,782.75
602,969.0,784.25
603,969.0,784.0
604,969.0,785.0
605,968.0,788.5
606,967.0,798.75
607,964.0,806.5
608,962.0,817.0
609,961.0,821.0
610,961.0,826.75
611,961.0,827.5
612,938.0,828.25
613,936.0,826.0
614,932.0,821.75
615,931.0,821.0
616,920.0,819.5
617,914.0,818.25
618,911.0,819.0
619,898.0,823.25
620,888.0,832.75
621,884.0,837.25
622,877.0,839.25
623,866.0,844.75
624,850.0,851.0
625,834.0,860.75
626,823.0,874.0
627,819.0,879.5
628,814.0,886.25
629,812.0,888.25
630,816.0,886.75
631,821.0,884.75
632,822.0,880.75
633,822.0,879.5
634,823.0,877.25
635,831.0,874.0
636,837.0,871.0
637,845.0,865.5
638,853.0,866.75
639,856.0,868.0
640,860.0,869.75
641,863.0,871.25
642,867.0,871.0
643,869.0,869.0
644,872.0,866.0
645,873.0,864.5
646,875.0,857.25
647,877.0,849.5
648,880.0,841.5
649,882.0,834.75
650,887.0,827.75
651,889.0,825.75
652,894.0,824.0
653,904.0,823.5
654,909.0,823.5
655,914.0,824.25
656,919.0,823.5
657,921.0,823.5
658,923.0,822.0
659,926.0,819.25
660,934.0,818.0
661,945.0,816.5
662,953.0,812.75
663,956.0,811.75
664,959.0,807.25
665,960.0,801.75
666,962.0,797.75
667,968.0,794.0
668,972.0,791.0
669,974.0,789.75
670,978.0,787.5
671,985.0,785.25
672,992.0,784.5
673,1001.0,783.5
674,1015.0,784.0
675,1020.0,783.75
676,1014.0,784.25
677,1015.0,785.0
678,1023.0,785.75
679,1030.0,785.75
680,1034.0,785.5
681,1036.0,785.75
682,1039.0,785.25
683,1041.0,784.75
684,1044.0,783.5
685,1046.0,782.25
686,1045.0,780.25
687,1044.0,780.25
688,1043.0,779.75
689,1041.0,780.5
690,1037.0,781.5
691,1034.0,782.0
692,1032.0,783.0
693,1031.0,783.5
694,1032.0,785.75
695,1033.0,786.25
696,1035.0,785.5
697,1041.0,785.75
698,1050.0,787.0
699,1053.0,787.5
700,1062.0,790.25
701,1072.0,792.75
702,1083.0,793.5
703,1087.0,799.75
704,1097.0,803.5
705,1101.0,805.0
706,1108.0,810.75
707,1121.0,814.25
708,1136.0,814.25
709,1153.0,816.5
710,1168.0,816.5
711,1174.0,816.75
712,1180.0,815.25
713,1183.0,810.75
714,1189.0,804.75
715,1198.0,798.25
716,1206.0,787.0
717,1208.0,782.75
718,1210.0,798.75
719,1210.0,807.75
720,1214.0,828.0
721,1216.0,848.5
722,1220.0,862.25
723,1222.0,866.5
724,1224.0,867.25
725,1229.0,867.5
726,1237.0,867.5
727,1244.0,865.75
728,1252.0,864.75
